time,ci_12_16,phase,sea_breeze
2012-02-13,0.6102936906561667,,
2012-02-14,1.8308566431406157,,
2012-02-15,1.058028315968635,suppressed,True
2012-02-16,1.364037080291578,suppressed,True
2012-02-17,1.5203666515571221,suppressed,True
2012-02-18,1.4903695991035628,suppressed,True
2012-02-19,1.5323100047847986,suppressed,True
2012-02-20,-0.09359500944437489,suppressed,True
2012-02-21,1.9513917313952276,suppressed,True
2012-02-22,1.0651366660331012,suppressed,False
2012-02-23,1.4899621244721968,suppressed,False
2012-02-24,2.0910081537999585,suppressed,True
2012-02-25,0.7000998264860374,suppressed,True
2012-02-26,1.330709281577008,suppressed,False
2012-02-27,1.112734420436,suppressed,False
2012-02-28,2.957232036316758,suppressed,False
2012-02-29,1.6615619655490235,suppressed,False
2012-03-01,1.5726172171681552,suppressed,False
2012-03-02,1.2850471369290541,suppressed,True
2012-03-03,1.4802140479089136,suppressed,False
2012-03-04,0.7097122422522837,suppressed,False
2012-03-05,1.26449868647278,suppressed,True
2012-03-06,1.3196202865997502,suppressed,True
2012-03-07,1.6153557045561833,suppressed,False
2012-03-08,1.1404419873468146,transition,False
2012-03-09,-1.0272906157193353,transition,False
2012-03-10,-0.45386931825944654,transition,False
2012-03-11,0.7026828459548518,transition,True
2012-03-12,2.3794032288378046,transition,True
2012-03-13,1.0345899345855305,transition,True
2012-03-14,-0.011632826919199746,transition,False
2012-03-15,1.8193438183485398,transition,True
2012-03-16,0.7562786618640299,active,True
2012-03-17,1.7542567765108543,active,False
2012-03-18,1.1382660572408088,active,True
2012-03-19,0.7555328887276657,active,False
2012-03-20,2.3226515893300075,active,True
2012-03-21,0.192996491353923,active,False
2012-03-22,1.386183668676618,active,False
2012-03-23,0.8509749669487092,active,False
2012-03-24,-1.2190954800194027,active,False
2012-03-25,-0.1332333862093967,active,False
2012-03-26,-1.3203656718404637,active,False
2012-03-27,-0.7378157345637998,active,False
2012-03-28,-0.34875342243375634,active,False
2012-03-29,-0.5425769566714118,active,False
2012-03-30,-1.9657877408384306,active,False
2012-03-31,-0.4092124276555686,active,False
2012-04-01,0.4422895225333526,active,False
2012-04-02,-1.8745078228268919,active,False
2012-04-03,-0.3289316768839012,active,False
2012-04-04,0.48514007186486036,active,False
2012-04-05,-0.1365811408153706,active,False
2012-04-06,-0.6769580796973096,active,False
2012-04-07,-1.1634604297362607,active,False
2012-04-08,-0.11576191038249903,active,False
2012-04-09,0.4211832257378256,active,False
2012-04-10,1.073432438733513,active,True
2012-04-11,0.48201186304874993,,
